Game ID,Date,Time,League Name,Season,Country,Home Team,Away Team,Home Logo,Away Logo,Home Q1 Score,Home Q2 Score,Home Q3 Score,Home Q4 Score,Home Total Score,Away Q1 Score,Away Q2 Score,Away Q3 Score,Away Q4 Score,Away Total Score,Game Status,Timezone
421169,2024-09-13T15:00:00+00:00,15:00,TBL,2024-2025,Turkey,CO Basket,Bordo Sportif,https://media.api-sports.io/basketball/teams/3191.png,https://media.api-sports.io/basketball/teams/6284.png,24,16,13,25,78,15,10,21,25,71,Game Finished,UTC
421170,2024-09-14T11:00:00+00:00,11:00,TBL,2024-2025,Turkey,Cayirova,Istanbul Anka Spor,https://media.api-sports.io/basketball/teams/5678.png,https://media.api-sports.io/basketball/teams/5681.png,16,20,30,20,86,22,11,11,15,59,Game Finished,UTC
421171,2024-09-14T12:30:00+00:00,12:30,TBL,2024-2025,Turkey,Fenerbahce 2,Konya BBSK,https://media.api-sports.io/basketball/teams/3194.png,https://media.api-sports.io/basketball/teams/5684.png,15,12,23,25,75,18,24,8,23,73,Game Finished,UTC
421172,2024-09-14T14:00:00+00:00,14:00,TBL,2024-2025,Turkey,Balikesir,Final Spor,https://media.api-sports.io/basketball/teams/1295.png,https://media.api-sports.io/basketball/teams/1300.png,16,18,18,25,77,11,16,23,15,65,Game Finished,UTC
421173,2024-09-14T15:30:00+00:00,15:30,TBL,2024-2025,Turkey,Harem Spor,Esenler Erokspor,https://media.api-sports.io/basketball/teams/2461.png,https://media.api-sports.io/basketball/teams/5680.png,14,13,17,20,64,18,23,25,20,86,Game Finished,UTC
421174,2024-09-15T11:00:00+00:00,11:00,TBL,2024-2025,Turkey,Kapakli Spor,Trabzonspor,https://media.api-sports.io/basketball/teams/5682.png,https://media.api-sports.io/basketball/teams/1736.png,17,19,17,24,77,16,12,17,21,66,Game Finished,UTC
421175,2024-09-15T13:00:00+00:00,13:00,TBL,2024-2025,Turkey,Gaziantep,iLab Basketbol,https://media.api-sports.io/basketball/teams/1272.png,https://media.api-sports.io/basketball/teams/6613.png,15,26,20,18,79,27,32,12,11,82,Game Finished,UTC
421176,2024-09-15T15:00:00+00:00,15:00,TBL,2024-2025,Turkey,OGM Ormanspor,Ankara Kolejliler,https://media.api-sports.io/basketball/teams/1273.png,https://media.api-sports.io/basketball/teams/1279.png,17,19,19,17,72,19,21,7,17,64,Game Finished,UTC
421177,2024-09-16T13:00:00+00:00,13:00,TBL,2024-2025,Turkey,Çağdaş Bodrum Spor,MKE Ankaragucu,https://media.api-sports.io/basketball/teams/5920.png,https://media.api-sports.io/basketball/teams/6302.png,12,22,9,22,65,18,14,19,13,64,Game Finished,UTC
421178,2024-09-20T15:00:00+00:00,15:00,TBL,2024-2025,Turkey,Esenler Erokspor,Cayirova,https://media.api-sports.io/basketball/teams/5680.png,https://media.api-sports.io/basketball/teams/5678.png,16,22,24,26,88,23,24,25,9,81,Game Finished,UTC
